"numero";"ano";"id_unidade_requisitante";"nome_unidade_requisitante";"id_unidade_custo";"nome_unidade_custo";"data_envio";"descricao";"local";"observacoes";"status";"processo"
"6111";"2018";"19";"SUPERINTENDENCIA DE COMUNICACAO";"19";"SUPERINTENDENCIA DE COMUNICACAO";"16/08/2018";"Solicitamos a implantação de um elevador no prédio da Superintendência de Comunicação para possibilitar a acessibilidade de pessoas com mobilidade reduzida que visitam esta Unidade, como estudantes de escolas públicas e particulares, como também artistas e convidados. Visando adequar o prédio as políticas de acessibilidade.   ";"Superintendência de Comunicação";"";"PENDENTE AUTORIZAÇÃO CHEFE UNIDADE";
"5971";"2018";"5279";"INSTITUTO INTERNACIONAL DE FÍSICA";"5279";"INSTITUTO INTERNACIONAL DE FÍSICA";"10/08/2018";"Solicito, com urgência, a reforma da grade externa no gramado do IIF, que dá para fora do campus (próximo à parada de ônibus). A mesma se encontra destruída, oferecendo risco de acesso indevido (invasão)";"Grade do gramado do IIF - grade que circunda o campus";"";"PENDENTE AUTORIZAÇÃO CHEFE UNIDADE";
"5923";"2018";"177";"DEPARTAMENTO DE MORFOLOGIA";"177";"DEPARTAMENTO DE MORFOLOGIA";"08/08/2018";"Avaliação para reforma nas salas de aulas: Anfiteatro A de Anatomia Humana, Anfiteatro B de Anatomia Humana e Sala dos Epitélios.";"Departamento de Morfologia";"";"ENVIADA";
"5916";"2018";"6919";"INSTITUTO DE MEDICINA TROPICAL - IMT-RN";"6919";"INSTITUTO DE MEDICINA TROPICAL - IMT-RN";"08/08/2018";"Estudo de análise para o acesso ao reservatório d'água do edifício. O acesso atualmente dá-se sobre as telhas, o que ocasiona com frequência goteiras por telhas quebradas e risco elevado de acidente.";"IMT- Campus  central (SAPEC)";"";"PENDENTE AUTORIZAÇÃO CHEFE UNIDADE";
"5912";"2018";"177";"DEPARTAMENTO DE MORFOLOGIA";"177";"DEPARTAMENTO DE MORFOLOGIA";"08/08/2018";"aproveitamento de um vão embaixo da escada, que vai ser fechado na frente com grade e na lateral com parede";"Departamento de Morfologia";"Dependências como essa já existem no Centro.";"ENVIADA";
"5900";"2018";"6042";"INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS";"6042";"INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS";"08/08/2018";"SOLICITO ELABORAÇÃO DE PROJETO PARA INSTALAÇÃO DE GRADES DE FERRO NO PRÉDIO DO INSTITUTO ÁGORA.";"Todo o prédio do Instituto Ágora";"";"ATENDIDA";"23077.50303/2018-12"
"5828";"2018";"290";"MUSEU CÂMARA CASCUDO";"290";"MUSEU CÂMARA CASCUDO";"06/08/2018";"SOLICITAMOS SERVIÇO DE ARQUITETO E/OU ENGENHEIRO CIVIL PARA AUXILIAR NA ELABORAÇÃO DE PROJETOS, A SEREM SUBMETIDOS AO INSTITUTO DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO NACIONAL (IPHAN), VISANDO REFORMAS DE ESPAÇOS LOCALIZADOS NO MUSEU CÂMARA CASCUDO.";"MUSEU CÂMARA CASCUDO";"";"ATENDIDA";"23077.48776/2018-50"
"5757";"2018";"263";"AUDITORIA INTERNA";"263";"AUDITORIA INTERNA";"02/08/2018";"CONSIDERANDO A CONSTATAÇÃO DA CONTROLADORIA-GERAL DA UNIÃO - CGU CONTIDA NA SA 201800625/16 (ESTRUTURA E ATUAÇÃO DA AUDITORIA INTERNA) DE QUE ""A INFRAESTRUTURA DISPONÍVEL PARA A AUDITORIA INTERNA É INSUFICIENTE PARA O DESEMPENHO DE SUAS ATRIBUIÇÕES, PRINCIPALMENTE PELO FATO DE HAVER UM AMBIENTE ÚNICO PARA TODA A EQUIPE FORMADA POR SEIS SERVIDORES, SENDO CINCO AUDITORES E UMA SECRETÁRIA ADMINISTRATIVA, NÃO HAVENDO UM ESPAÇO ADICIONAL OU SEPARADO PARA DISCUSSÕES EM SUBGRUPOS OU PARA REALIZAÇÃO DE TRABALHOS QUE EXIJAM MAIOR GRAU DE CONCENTRAÇÃO"", SOLICITO AGENDAMENTO DE VISITA TÉCNICA DE PROFISSIONAL HABILITADO, COM A FINALIDADE DE ELABORAÇÃO DO PROJETO DE READEQUAÇÃO DA SALA DA AUDITORIA INTERNA, OBJETIVANDO ATENDER A RECOMENDAÇÃO DA CGU.";"Auditoria Interna (localizada no andar logo abaixo ao gabinete da Reitora)";"";"ATENDIDA";"23077.48774/2018-61"
"5683";"2018";"117";"DEPARTAMENTO DE ANÁLISES CLÍNICAS E TOXICOLÓGICAS";"117";"DEPARTAMENTO DE ANÁLISES CLÍNICAS E TOXICOLÓGICAS";"01/08/2018";"EM ATENDIMENTO ÀS DILIGÊNCIAS DO PROC. 32570/2018-16 - COPS, EM CARÁTER DE URGÊNCIA, SOLICITAMOS REFORMA NO LAB. DE MICROBIOLOGIA, PARA TORNAR TODAS AS PAREDES RESISTENTES À ÁGUA.";"Laboratório de Microbiologia/DACT";"";"ATENDIDA";"23077.48777/2018-2"
"5682";"2018";"117";"DEPARTAMENTO DE ANÁLISES CLÍNICAS E TOXICOLÓGICAS";"117";"DEPARTAMENTO DE ANÁLISES CLÍNICAS E TOXICOLÓGICAS";"01/08/2018";"EM ATENDIMENTO ÀS DILIGÊNCIAS DO PROC. 32570/2018-16 - COPS, EM CARÁTER DE URGÊNCIA, SOLICITAMOS ADEQUAÇÃO DE JANELAS, QUE DEVERÃO POSSUIR DUAS CAMADAS DE VIDRO.";"Laboratório de Microbiologia/DACT";"";"ATENDIDA";"23077.48778/2018-49"
"5681";"2018";"117";"DEPARTAMENTO DE ANÁLISES CLÍNICAS E TOXICOLÓGICAS";"117";"DEPARTAMENTO DE ANÁLISES CLÍNICAS E TOXICOLÓGICAS";"01/08/2018";"EM ATENDIMENTO ÀS DILIGÊNCIAS DO PROC. 32570/2018-16 - COPS, SOLICITAMOS A TROCA DE PISO, A FIM DE MINIMIZAR ACÚMULO DE AGENTES NOCIVOS, BEM COMO OTIMIZAR A LIMPEZA LOCAL.";"Laboratório de Microbiologia/DACT";"";"ATENDIDA";"23077.48781/2018-62"
"5494";"2018";"5965";"CENTRO DE EDUCAÇÃO";"5965";"CENTRO DE EDUCAÇÃO";"25/07/2018";"SOLICITO PROJETO DE READEQUAÇÃO NA INSTALAÇÃO DOS AR CONDICIONADOS NO TERRAÇO DO PRÉDIO DO CENTRO DE EDUCAÇÃO (APÓS A QUEDA DO PLATIBANDA).";"TERRAÇO DO PRÉDIO ADMINISTRATIVO DO CENTRO DE EDUCAÇÃO.";"";"CADASTRADA";
"5480";"2018";"177";"DEPARTAMENTO DE MORFOLOGIA";"177";"DEPARTAMENTO DE MORFOLOGIA";;"CONSTRUÇÃO DE UM PEQUENO ESPAÇO FÍSICO";"ABAIXO DA ESCADA DO DEPARTAMENTO DE MORFOLOGIA";"";"PENDENTE AUTORIZAÇÃO CHEFE UNIDADE";
"5330";"2018";"19";"SUPERINTENDENCIA DE COMUNICACAO";"19";"SUPERINTENDENCIA DE COMUNICACAO";"18/07/2018";"Projeto e adequação das escadas da Superintendência de Comunicação à Norma Brasileira 9050 da Associação Brasileira de Normas Técnicas (ABNT), que versa sobre acessibilidade em relação aos quisitos:

1) Sinalização tática de corrimãos: a) anel com textura contrastante com a superfície do corrimão, instalado 1,00 m antes das extremidades, b) sinalização em Braille, informando sobre os pavimentos no início e no final das escadas fixas e rampas, instalada na geratriz superior do prolongamento horizontal do corrimão.

2) Sinalização visual de degraus: todos os degraus devem ter sinalização visual na borda do piso, em cor contrastante com a do acabamento, medindo entre 0,02m e 0,03m de largura. Essa sinalização pode estar restrita à projeção dos corrimãos laterais, com no mínimo 0,20m de extensão.";"Prédio da Superintendência de Comunicação da UFRN.";"Requisição em observância à política de inserção da pessoa com deficiência no âmbito da UFRN, oriunda do Relatório de Inspeção de Segurança 094/2018-COPS, que trata do acompanhamento do servidor Leonardo Marcos de Menezes, lotado nesta Superintendência de Comunicação.";"PENDENTE AUTORIZAÇÃO CHEFE UNIDADE";
"5203";"2018";"1840";"ASSESSORIA ADMINISTRATIVA DO CCHLA";"2954";"GASTOS COMUNS - CCHLA";;"SOLICITO REAPROVEITAMENTO DE UM CANTEIRO CONSTRUÍDO NO SETOR II E SEM UTILIZAÇÃO A ALGUNS ANOS. SERÁ NECESSÁRIO REPAROS NA ALVENARIA, TELHADO E REVESTIMENTO, PARA QUE O ESPAÇO SE ADEQUE A UMA COPA, DEPÓSITO, BANHEIRO E APOIO ADMINISTRATIVO NO SETOR. O SR. EVALDO CABRAL JÁ ESTEVE NO LOCAL E SABE AS NECESSIDADES.
SEGUE UMA PLANTA DE PROPOSIÇÃO PARA O LOCAL.";"SETOR II DE AULAS";"";"PENDENTE AUTORIZAÇÃO CHEFE UNIDADE";
"5117";"2018";"1463";"RESIDENCIAS UNIVERSITÁRIAS";"1463";"RESIDENCIAS UNIVERSITÁRIAS";"10/07/2018";"- SOLICITAMOS A VERIFICAÇÃO E POSSÍVEL SOLUÇÃO, EM CARÁTER EMERGENCIAL, PARA A NECESSIDADE DE UMA SAÍDA DE EMERGÊNCIA NA RESIDÊNCIA UNIVERSITÁRIA CAMPUS III. TAL NECESSIDADE SE AGRAVOU APÓS UM PROBLEMA RECENTE COM O GÁS DE COZINHA DE UM DOS PISOS DA RESIDÊNCIA UNIVERSITÁRIA CAMPUS IV, QUE NECESSITOU DE TAL SAÍDA. CASO A GRAVIDADE DO PROBLEMA CITADO FOSSE MAIOR POSSIVELMENTE A FALTA DE UMA SAÍDA DE EMERGÊNCIA PODERIA TER CAUSADO DIVERSOS PREJUÍZOS AOS MORADORES ENVOLVIDOS.";"Residência Universitária Campus III e Campus IV";"";"ATENDIDA";"23077.42673/2018-86"
"5022";"2018";"8772";"ADMINISTRAÇÃO DA ESCOLA MULTICAMPI DE CIÊNCIAS MÉDICAS DO RN";"7278";"ESCOLA MULTICAMPI DE CIÊNCIAS MÉDICAS DO RIO GRANDE DO NORTE";"05/07/2018";"SOLICITO QUE A SALA DE Nº 200 DA EMCM/RN , ONDE SÃO REALIZADOS OS SERVIÇOS DE PSICOLOGIA,
TENHA ISOLAMENTO ACÚSTICO. A MELHORIA DESSE AMBIENTE IRÁ PROPORCIONAR O SIGILO DO
CONTEÚDO DAS SESSÕES VERBALIZADO DURANTE OS ATENDIMENTOS E A PRIVACIDADE DA PESSOA QUE
ESTÁ SENDO ATENDIDA, POIS É POSSÍVEL A ESCUTA DO QUE ESTÁ SENDO DITO POR QUEM ESTÁ DO
LADO DE FORA DA SALA, PRÓXIMO À PORTA, NO CORREDOR EM QUE A SALA SE ENCONTRA. O TRÂNSITO
DE PESSOAS NO CORREDOR É FREQUENTE E FEITO TANTO POR FUNCIONÁRIOS QUANTO POR ESTUDANTES
DA EMCM. PORTANTO, TENDO EM VISTA QUE A PASSAGEM PELO LOCAL É NECESSÁRIA E QUE O
SIGILO E A PRIVACIDADE DE QUEM ESTÁ SENDO ATENDIDO DEVEM SER RESGUARDADOS, PEÇO QUE AS
PROVIDÊNCIAS NECESSÁRIAS SEJAM TOMADAS PARA QUE O AMBIENTE DA SALA TORNE-SE MAIS
ADEQUADO PARA A REALIZAÇÃO DO ATENDIMENTO PSICOLÓGICO NA INSTITUIÇÃO.";"ESCOLA MULTICAMPI DE CIÊNCIAS MÉDICAS";"";"ATENDIDA";"23077.42675/2018-75"
"4834";"2018";"19";"SUPERINTENDENCIA DE COMUNICACAO";"19";"SUPERINTENDENCIA DE COMUNICACAO";"26/06/2018";"SOLICITAMOS UM PROJETO ELÉTRICO PARA INSTALAÇÃO DE UM NOBREAK DE 20KVA NAS DEPENDÊNCIAS DOS TRANSMISSORES DA RÁDIO E TV UNIVERSITÁRIA.";"Rua da torre s/n, morro branco, Natal rn";"";"ATENDIDA";"23077.42678/2018-17"
"4731";"2018";"87";"DIREÇÃO DO CENTRO DE TECNOLOGIA";"87";"DIREÇÃO DO CENTRO DE TECNOLOGIA";"21/06/2018";"REPAROS NA ESTRUTURA FÍSICA
DO LABORATÓRIO DE ENGENHARIA DE ALIMENTOS DO CENTRO DE TECNOLOGIA";"LABORATÓRIO DE ENGENHARIA DE ALIMENTOS DO CENTRO DE TECNOLOGIA - UFRN";"RDC 11/2018 R$ 18.324,66";"FINALIZADA_ATENDIMENTO";
"4730";"2018";"6069";"INSTITUTO METROPOLE DIGITAL";"6069";"INSTITUTO METROPOLE DIGITAL";"21/06/2018";"REPAROS EM ALVENARIAS E LAJE DA COBERTURA DO INSTITUTO METRÓPOLE DIGITAL";"INSTITUTO METRÓPOLE DIGITAL  - CAMPUS CENTRAL/UFRN";"RDC 11/2018 - R$ 19.676,72";"FINALIZADA_ATENDIMENTO";"23077.42679/2018-53"
"4728";"2018";"4659";"REITORIA";"9160";"MANUTENÇÃO E CONSERVAÇÃO DA INFRA-ESTRUTURA FÍSICA";"13/09/2018";"RECUPERAÇÃO ESTRUTURAL DA CAPELA ECUMÊNICA DO CAMPUS CENTRAL";"CAPELA ECUMÊNICA  DO CAMPUS CENTRAL/UFRN";"RDC 11/2018 - R$ 95.436,38";"RETORNADA";
"4727";"2018";"440";"CENTRO DE BIOCIÊNCIAS";"440";"CENTRO DE BIOCIÊNCIAS";"21/06/2018";"RECUPERAÇÃO ESTRUTURAL DA CAIXA DAGUA DO CENTRO DE BIOCIÊNCIAS LOCALIZADA PRÓXIMO AO DEPARTAMENTO DE MORFOLOGIA";"CENTRO DE BIOCIÊNCIAS - CAMPUS CENTRAL/UFRN";"RDC 11/2018 - R$ 58.748,69";"FINALIZADA_ATENDIMENTO";"23077.42680/2018-88"
"4724";"2018";"442";"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES";"442";"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES";"21/06/2018";"ADEQUAÇÃO DAS INSTALAÇÕES ELÉTRICAS DO PRÉDIO DO DEPARTAMENTO DE PSICOLOGIA";"PRÉDIO DO DEPARTAMENTO DE PSICOLOGIA NO CAMPUS CENTRAL DA UFRN";"RDC 10/2018 - R$ 169.337,38";"FINALIZADA_ATENDIMENTO";
"4723";"2018";"442";"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES";"442";"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES";"21/06/2018";"ADEQUAÇÃO DAS INSTALAÇÕES ELÉTRICAS DO PRÉDIO DO DEPARTAMENTO DE PSICOLOGIA";"PRÉDIO DO DEPARTAMENTO DE PSICOLOGIA NO CAMPUS CENTRAL DA UFRN";"RDC 10/2018 - R$ 169.337,38";"NEGADA";
"4722";"2018";"440";"CENTRO DE BIOCIÊNCIAS";"440";"CENTRO DE BIOCIÊNCIAS";"21/06/2018";"ADEQUAÇÃO DAS INSTALAÇÕES ELÉTRICAS DO PRÉDIO DO DEPARTAMENTO DE ECOLOGIA";"DEPARTAMENTO DE ECOLOGIA- CB/UFRN";"RDC 10/2018 - R$ 108.866,16";"FINALIZADA_ATENDIMENTO";
"4713";"2018";"251";"DIRETORIA DO RESTAURANTE UNIVERSITÁRIO";"9184";"PROGRAMA DE CONSOLIDAÇÃO DAS IFES";"21/06/2018";"REFORMA DO RESTAURANTE UNIVERSITÁRIO DO CAMPUS CENTRAL DA UFRN";"RESTAURANTE UNIVERSITÁRIO - CAMPUS CENTRAL/UFRN";"RDC 09/2018 - R$ 797.458,70";"FINALIZADA_ATENDIMENTO";
"4673";"2018";"87";"DIREÇÃO DO CENTRO DE TECNOLOGIA";"9184";"PROGRAMA DE CONSOLIDAÇÃO DAS IFES";"19/06/2018";"CONSTRUÇÃO DO NÚCLEO DE PESQUISAS EM ENERGIAS RENOVÁVEIS - CT - UFRN";"CENTRO DE TECNOLOGIA - UFRN";"RDC 08/2018  - R$ 4.016.104,57";"FINALIZADA_ATENDIMENTO";
"4642";"2018";"179";"DEPARTAMENTO DE BIOLOGIA CELULAR E GENÉTICA";"179";"DEPARTAMENTO DE BIOLOGIA CELULAR E GENÉTICA";"18/06/2018";"SOLICITAMOS A ABERTURA PARA VENTILAÇÃO EM UMA PAREDE (TIPO JANELA) NA SALA DE ESTUDO (ALUNOS DE PÓS-GRADUAÇÃO) DO DEPARTAMENTO DE BIOLOGIA CELULAR E GENÉTICA.";"Departamento de Biologia Celular e Genética do Centro de Biociências";"";"ATENDIDA";"23077.42681/2018-22"
"4561";"2018";"284";"ESCOLA DE MÚSICA";"284";"ESCOLA DE MÚSICA";"13/06/2018";"Solicito abertura de pregão para troca de carpetes de salas da Escola de Música.";"Salas de aula/estudo da Escola de Música";"Por motivo de abafamento do som, os carpetes são de fundamental importância para a manutenção de uma boa ambiência sonora no prédio da Escola de Música.";"PENDENTE AUTORIZAÇÃO CHEFE UNIDADE";
"4500";"2018";"291";"NÚCLEO DE ARTE E CULTURA";"291";"NÚCLEO DE ARTE E CULTURA";"12/06/2018";"GOSTARÍAMOS DE SOLICITAR O LAYOUT DA NOVA SEDE DO NÚCLEO DE ARTE E CULTURA";"Anexo da Biblioteca Central Zila Mamede";"";"ATENDIDA";"23077.35977/2018-97"
"4362";"2018";"405";"DMP - SETOR DE PATRIMÔNIO";"1451";"SUSTENTAÇÃO DE ESTOQUE DO ALMOXARIFADO CENTRAL";"06/06/2018";"O GALPÃO 3, QUE ACOMODAMOS BENS RECOLHIDOS PARA ALIENAÇÃO, É BASTANTE ALTO, ENTRETANTO DEVIDO AO QUANTITATIVO DE BENS QUE RECEBEMOS NO SETOR DE PATRIMÔNIO, A ÁREA PARA ACOMODAR OS BENS É PEQUENA. NO OBJETIVO DE ATENDER AO DECRETO N. 9373/2018, ESPECIFICAMENTE AO ARTIGOS 2º, 6º E 10º, SOLICITAMOS A INSTALAÇÃO DE UM MESANINO PARA A OTIMIZAÇÃO DO ESPAÇO.";"DMP - Setor de Patrimônio - Galpão 3";"Segue foto para esclarecimento da solicitação.";"ATENDIDA";"23077.35979/2018-86"
"4214";"2018";"7278";"ESCOLA MULTICAMPI DE CIÊNCIAS MÉDICAS DO RIO GRANDE DO NORTE";"7278";"ESCOLA MULTICAMPI DE CIÊNCIAS MÉDICAS DO RIO GRANDE DO NORTE";"30/05/2018";"ELABORAÇÃO DE PROJETO ARQUITETÔNICO PARA ESTRUTURA ADICIONAL AO PRÉDIO DA ESCOLA MULTICAMPI DE CIÊNCIAS MÉDICAS DO RIO GRANDE DO NORTE, CONFORME PREVISTO NO PLANO DIRETOR DO CAMPUS CAICÓ. A ESTRUTURA PREVISTA DEVERÁ DAR SUPORTE ÀS SEGUINTES DEMANDAS DA EMCM:
1. ÁREA ADMINISTRATIVA E ACADÊMICA PARA O MESTRADO PROFISSIONAL EM EDUCAÇÃO, TRABALHO E INOVAÇÃO EM MEDICINA;
2. ÁREA ADMINISTRATIVA E ACADÊMICA PARA AS RESIDÊNCIAS MULTIPROFISSIONAIS EM SAÚDE (TOTALIZANDO ATUALMENTE 112 ESTUDANTES, ALÉM DO CORPO DOCENTE E PRECEPTORES DE 10 CATEGORIAS PROFISSIONAIS);
3. ÁREA ADMINISTRATIVA E ACADÊMICA PARA OS PROGRAMAS DE RESIDÊNCIA MÉDICA (TOTALIZANDO ATUALMENTE 30 VAGAS PRA RESIDENTES DAS ÁREAS DE MEDICINA DE FAMÍLIA E COMUNIDADE E CLÍNICA MÉDICA, COM POSSIBILIDADE DE EXPANSÃO);
4. ÁREA PARA A ESTRUTURA DEFINITIVA DA CLÍNICA ESCOLA DA EMCM, ATUALMENTE FUNCIONANDO EM ESTRUTURA PROVISÓRIA CONSTRUÍDA COM CONTÊINERES;
5. AUDITÓRIO PARA ATIVIDADES INTEGRADORAS";"Campus Caicó; área definida no Plano Diretor";"";"ATENDIDA";"23077.33395/2018-76"
"4177";"2018";"10130";"COMPLEXO DE ESPORTES E EVENTOS";"10130";"COMPLEXO DE ESPORTES E EVENTOS";"29/05/2018";"PARA ATENDER AS SOLICITAÇÕES CONSTANTES NO RELATÓRIO DE INSPEÇÃO DE SEGURANÇA QUE CONSTA NO PROCESSO 23077.010774/2018-98, QUE VERSA SOBRE: AVALIAÇÃO AMBIENTAL DAS CONDIÇÕES DE SEGURANÇA DO SETOR MÉDICO DO COMPLEXO DE ESPORTES E EVENTOS, SOLICITAMOS A ELABORAÇÃO DE UM PROJETO PARA READEQUAÇÃO(REFORMA OU CONSTRUÇÃO) DO SETOR MÉDICO DESTE COMPLEXO. ALGUMAS DESTAS SOLICITAÇÕES ESTÃO LISTADAS A SEGUIR:
- PROVER AS SALAS DO SETOR MÉDICO DE ISOLAMENTO ACÚSTICO, PARA ADEQUÁ-LAS AOS NÍVEIS ACEITÁVEIS PELA NR 17.
- READEQUAR AS PAREDES E DIVISÓRIAS QUE FAVOREÇAM À CORRETA LIMPEZA E DESCONTAMINAÇÃO DO AMBIENTE.
- READEQUAR A ILUMINAÇÃO DO SETOR MÉDICO PARA QUE ATENDA OS REQUISITOS MÍNIMOS SOLICITADOS PELA NBR 5413.
RESSALTA-SE, AINDA, A NECESSIDADE DE TAIS READEQUAÇÕES(REFORMA OU CONSTRUÇÃO) DO SETOR, ATENDEREM ÀS EXIGÊNCIAS DA RESOLUÇÃO - RDC Nº 50, DE 21 DE FEVEREIRO DE 2002 (ANVISA).";"COESPE - GINÁSIO I";"";"ATENDIDA";"23077.33396/2018-11"
"4160";"2018";"1431";"DIRETORIA DE OBRAS";"1431";"DIRETORIA DE OBRAS";"29/05/2018";"Requisição cadastrada apenas para que o fiscal consiga cadastrar o cronograma da obra para o cadastro da medição de serviços extras referentes ao processo nº 23077.02781/2018-52 - obra de CONSTRUÇÃO DO INSTITUTO DO CÉREBRO - CAMPUS UNIVERSITÁRIO CENTRAL- UFRN.";"Instituto do Cérebro";"";"AUTORIZADA PARA INFRA";
"4068";"2018";"2561";"CCSA - DIREÇÃO SETOR DE COMPRAS E MANUTENÇÃO";"156";"DIREÇÃO DO CCSA";;"SOLICITAMOS A VOSSA SENHORIA UM PROFISSIONAL PARA AVALIAR LOCAIS DESTINADOS À CONSTRUÇÃO DE UM BICICLETÁRIO EM ÁREA PRÓXIMA AO PRÉDIO ADMINISTRATIVO DO CCSA.";"CCSA";"INFORMAMOS QUE NO CCSA, TEMOS ALUNOS E SERVIDORES QUE UTILIZAM BICICLETAS PARA SE DESLOCAREM ATÉ O TRABALHO E PRECISAM DE UM LOCAL ADEQUADO ONDE ELES(ELAS) POSSAM DEIXAR SUAS BICICLETAS.";"PENDENTE AUTORIZAÇÃO CHEFE UNIDADE";
