"id_obra";"descricao";"periodo";"qtd_dias";"status_obra";"licitacao";"empresa";"modalidade";"valor";"fonte_recurso";"vigencia_projeto";"projeto";"id_unidade_responsavel";"unidade_responsavel"
"5930";"O PRESENTE CONTRATO TEM COMO OBJETO A  EXECUÇÃO, PELA CONTRATADA, SOB O REGIME DE EMPREITADA POR PREÇO UNITÁRIO DA AMPLIAÇÃO DO DEPARTAMENTO DE ARTES COM A CONSTRUÇÃO DE UM PRÉDIO ANEXO E DO TEATRO MÚLTIPLO.
";"19/07/2010 - 04/12/2012";"390";"FINALIZADA";"16/2009";" 01.737.254/0001-50 - SERPE-SERVICOS PROJETOS EXECUCOES LTDA";"CONCORRÊNCIA";"R$     4.688.201,22";"TESOURO - ORDINÁRIO (100000000)";;;"139";"DEPARTAMENTO DE ARTES"
"5182";"AMPLIAÇÃO DA SUBESTAÇÃO ABRIGADA E RECUPERAÇÃO DAS INSTALAÇÕES ELÉTRICAS DOS BLOCOS B, C E D, DO CENTRO DE BIOCIÊNCIAS DA UFRN";"25/09/2009 - 24/03/2010";"180";"FINALIZADA";"1/2009";" 03.561.128/0001-12 - DIRECTA ENGENHARIA E PROJETOS LTDA";"CONCORRÊNCIA";"R$     2.764.141,44";"TESOURO - EDUCAÇÃO (112000000)";"20/04/2005 - 20/11/2005";"19O ENECIC/2005 (852005)";"440";"CENTRO DE BIOCIÊNCIAS"
"5082";"IMPLANTAÇÃO DA INFRA ESTRUTURA VIÁRIA (TERRAPLANAGEM, DRENAGEM, PAVIMENTAÇÃO, PASSAGEM DE NÍVEL DE SINALIZAÇAO) E MOVIMENTO DE TERRA PARA EDIFICAÇÕES NA ÁREA DESTINADA AO INSTITUTO INTERNACIONAL DE NEUROCIÊNCIAS DE NATAL LOCALIZADA NO CAMPUS DO CÉREBRO NO MUNICÍPIO DE MACAÍBA/RN";"02/09/2009 - 30/01/2010";"150";"CONTRATO FINALIZADO";"3/2009";" 06.148.344/0001-29 - CBM CONSTRUÇÕES LTDA";"CONCORRÊNCIA";"R$     1.600.234,12";"TESOURO - EDUCAÇÃO (112000000)";"17/12/2007 - 31/07/2013";"FUNPEC/UFRN CONV. 147/2007 - CAMPUS DO CEREBRO (2352007)";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE"
"5213";"CONSTRUÇÃO DA 1ª ETAPA DAS INSTALAÇÕES DO CENTRO DE EDUCAÇÃO NO CAMPOS CENTRAL DA UFRN.";"08/10/2009 - 15/02/2012";"860";"FINALIZADA";"4/2009";" 04.145.787/0001-30 - ECCL - EMPREENDIMENTOS E CONSTRUÇÃO CIVIL LTDA";"CONCORRÊNCIA";"R$     4.243.525,86";;"13/11/2007 - 13/12/2012";"FUNPEC/FINEP/CT INFRA-VI (2082007)";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE"
"5338";"EXECUÇÃO, PELA CONTRATADA, SOB O REGIME DE EMPREITADA POR PREÇO GLOBAL DA CONSTRUÇÃO DE UM BLOCO PARA A RESIDÊNCIA III, RESERVATÓRIO INFERIOR, INSTALAÇÕES DA LAVANDERIA E DE UMA SUBESTAÇÃO AÉREA NO SETOR DE RESIDÊNCIAS UNIVERSITÁRIAS NO CAMPUS CENTRAL DA UFRN";"15/12/2009 - 12/08/2010";"240";"FINALIZADA";"2/2009";" 09.376.468/0001-50 - CST CONSTRUCOES E SERVICOS TECNICOS LTDA";"CONCORRÊNCIA";"R$     2.537.858,43";"TESOURO - EDUCAÇÃO (112000000)";"20/04/2005 - 20/11/2005";"19O ENECIC/2005 (852005)";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE"
"5336";"CONSTRUÇÃO DO PRÉDIO DOS LABORATÓRIOS DO DEPARTAMENTO DE GEOFÍSICA  MÓDULO REUNI";"15/12/2009 - 12/08/2010";"240";"FINALIZADA";"9/2009";" 04.145.787/0001-30 - ECCL - EMPREENDIMENTOS E CONSTRUÇÃO CIVIL LTDA";"CONCORRÊNCIA";"R$       966.329,18";"TESOURO - EDUCAÇÃO (112000000)";"20/04/2005 - 20/11/2005";"19O ENECIC/2005 (852005)";"439";"CENTRO DE CIÊNCIAS EXATAS E DA TERRA"
"5627";"CONSTRUÇÃO DO PRÉDIO DESTINADO AO NÚCLEO DE PRÁTICA JURÍDICA E À PÓS-GRADUAÇÃO DO CURSO DE DIREITO";"09/04/2010 - 03/02/2011";"300";"FINALIZADA";"14/2009";" 70.043.906/0001-79 - EXECUÇÃO ENGENHARIA LTDA";"CONCORRÊNCIA";"R$     1.411.439,79";;"18/12/2006 - 30/06/2012";"FUNPEC/UFRN-CONV. 144/2006-EMENDA P./SESU/RES. E MODER. UFRN (312007)";"443";"CENTRO DE CIÊNCIAS SOCIAIS APLICADAS"
"5213";"CONSTRUÇÃO DA 1ª ETAPA DAS INSTALAÇÕES DO CENTRO DE EDUCAÇÃO NO CAMPOS CENTRAL DA UFRN.";"08/10/2009 - 15/02/2012";"860";"FINALIZADA";"4/2009";" 04.145.787/0001-30 - ECCL - EMPREENDIMENTOS E CONSTRUÇÃO CIVIL LTDA";"CONCORRÊNCIA";"R$     4.243.525,86";;"13/11/2007 - 13/12/2012";"FUNPEC/UFRN/CT INFRA-VI (22009)";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE"
"5391";"EXECUÇÃO, PELA CONTRATADA, SOB O REGIME DE EMPREITADA POR PREÇO UNITÁRIO, DA OBRA/SERVIÇO DE PINTURA INTERNA E EXTERNA DO PRÉDIO DO NEI  NÚCLEO EDUCACIONAL INFANTIL";"11/01/2010 - 11/05/2010";"120";"FINALIZADA";"503/2009";" 08.036.158/0001-23 - AGM - CONSTRUÇÕES E CONSULTORIA LTDA";"CONCORRÊNCIA";"R$        20.373,83";"TESOURO - EDUCAÇÃO (112000000)";"20/04/2005 - 20/11/2005";"19O ENECIC/2005 (852005)";"443";"CENTRO DE CIÊNCIAS SOCIAIS APLICADAS"
"5370";"CONSTRUÇÃO DO EDIFÍCIO SEDE DA SUPERINTENDÊNCIA DE INFRAESTRUTURA  SIN/UFRN ";"04/01/2010 - 31/10/2010";"300";"FINALIZADA";"13/2009";" 70.043.906/0001-79 - EXECUÇÃO ENGENHARIA LTDA";"CONCORRÊNCIA";"R$     2.138.936,66";"SESU - REUNI (112915030)";"20/04/2005 - 20/11/2005";"19O ENECIC/2005 (852005)";"20";"SUPERINTENDÊNCIA DE INFRAESTRUTURA"
"5213";"CONSTRUÇÃO DA 1ª ETAPA DAS INSTALAÇÕES DO CENTRO DE EDUCAÇÃO NO CAMPOS CENTRAL DA UFRN.";"08/10/2009 - 15/02/2012";"860";"FINALIZADA";"4/2009";" 04.145.787/0001-30 - ECCL - EMPREENDIMENTOS E CONSTRUÇÃO CIVIL LTDA";"CONCORRÊNCIA";"R$     4.243.525,86";;"18/12/2006 - 30/06/2012";"FUNPEC/UFRN-CONV. 144/2006-EMENDA P./SESU/RES. E MODER. UFRN (312007)";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE"
"5346";"AMPLIAÇÃO DO LABORATÓRIO DE QUÍMICA I (1ª E 2ª ETAPAS) PARA O CURSO DE QUÍMICA DO PETRÓLEO DO CENTRO DE CIÊNCIAS EXATAS DA TERRA NO CAMPUS CENTRAL DA UFRN.";"13/01/2010 - 08/01/2011";"360";"FINALIZADA";"8/2009";" 00.715.720/0001-33 - BMB CONSTRUÇÕES LTDA";"CONCORRÊNCIA";"R$     2.569.310,57";"TESOURO - EDUCAÇÃO (112000000)";"08/12/2008 - 08/12/2013";"FUNPEC/FINEP/CT-INFRA VII (1972008)";"439";"CENTRO DE CIÊNCIAS EXATAS E DA TERRA"
"5346";"AMPLIAÇÃO DO LABORATÓRIO DE QUÍMICA I (1ª E 2ª ETAPAS) PARA O CURSO DE QUÍMICA DO PETRÓLEO DO CENTRO DE CIÊNCIAS EXATAS DA TERRA NO CAMPUS CENTRAL DA UFRN.";"13/01/2010 - 08/01/2011";"360";"FINALIZADA";"8/2009";" 00.715.720/0001-33 - BMB CONSTRUÇÕES LTDA";"CONCORRÊNCIA";"R$     2.569.310,57";"TESOURO - EDUCAÇÃO (112000000)";"28/12/2007 - 28/03/2013";"FUNPEC/UFRN CONV. 164/2007 - REUNI (2532007)";"439";"CENTRO DE CIÊNCIAS EXATAS E DA TERRA"
"5235";"EXECUÇÃO, PELA CONTRATADA, SOB O REGIME DE EMPREITADA POR PREÇO GLOBAL DA CONSTRUÇÃO DA 2ª ETAPA DO PAVILHÃO DIDÁTICO DO CENTRO DE BIOCIÊNCIAS COM 12 SALAS DE AULAS ";"23/10/2009 - 18/10/2010";"360";"FINALIZADA";"5/2009";" 04.751.986/0001-92 - F DOIS ENGENHARIA LTDA";"CONCORRÊNCIA";"R$     1.305.523,80";"TESOURO - EDUCAÇÃO (112000000)";"20/04/2005 - 20/11/2005";"19O ENECIC/2005 (852005)";"440";"CENTRO DE BIOCIÊNCIAS"
"5785";"O PRESENTE CONTRATO TEM COMO OBJETO A EXECUÇÃO, PELA CONTRATADA, SOB O REGIME DE EMPREITADA POR PREÇO UNITÁRIO DA CONSTRUÇÃO DA RESIDÊNCIA UNIVERSITÁRIA DO CENTRO DE ENSINO SUPERIOR DO SERIDÓ - CAMPUS DE CAICÓ  DE ACORDO COM OS PROJETOS BÁSICO E EXECUTIVO, ESPECIFICAÇÕES TÉCNICAS, PLANILHA DE QUANTITATIVOS E DEMAIS ANEXOS DA CONCORRÊNCIA Nº 018/2009-DMP.";"01/06/2010 - 01/07/2011";"395";"FINALIZADA";"18/2009";" 04.751.986/0001-92 - F DOIS ENGENHARIA LTDA";"CONCORRÊNCIA";"R$     1.170.198,41";"TAXAS ACADEMICAS/CONCURSOS (250154009)";;;"1482";"CENTRO DE  ENSINO SUPERIOR DO SERIDÓ"
"5802";"O OBJETO DO PRESENTE CONTRATO É A EXECUÇÃO, PELA CONTRATADA, SOB O REGIME DE EMPREITADA POR PREÇO UNITÁRIO DA CONSTRUÇÃO DOS PRÉDIOS DESTINADOS A UM BLOCO DE SALAS DE AULAS, À ADMINISTRAÇÃO (1ª E 2ª FASES), AOS LABORATÓRIOS E À CASA DE VEGETAÇÃO DA ESCOLA AGRÍCOLA DE JUNDIAÍ DE ACORDO COM OS PROJETOS BÁSICO E EXECUTIVO, ESPECIFICAÇÕES TÉCNICAS, PLANILHA DE QUANTITATIVOS E DEMAIS ANEXOS DA CONCORRÊNCIA Nº 15/2009-DMP.

";"10/06/2010 - 05/05/2011";"330";"FINALIZADA";"15/2009";" 00.715.720/0001-33 - BMB CONSTRUÇÕES LTDA";"CONCORRÊNCIA";"R$     2.745.590,67";"TESOURO - EDUCAÇÃO (112000000)";;;"4892";"PROGRAMA REUNI"
"5803";"execução, pela CONTRATADA, da CONSTRUÇÃO DO CENTRO DE PESQUISAS, LOCALIZADO NO CAMPUS DO CÉREBRO NA ESCOLA AGRÍCOLA DE JUNDIAÍ - MUNICÍPIO DE MACAÍBA / RN: conforme especificações, anexas a CONCORRÊNCIA Nº 10/2009-DMP.
	Unidade 01 - CONSTRUÇÃO DA ESCOLA LYGIA MARIA ROCHA LEÃO LAPORTA
	 Unidade 02 -  CONSTRUÇÃO DO CENTRO DE PESQUISAS

";"11/06/2010 - 22/12/2013";"720";"FINALIZADA";"10/2009";" 86.712.247/0001-56 - EDCON - COMÉRCIO E CONSTRUÇÕES LTDA";"CONCORRÊNCIA";"R$    75.574.557,43";"TESOURO - EDUCAÇÃO (112000000)";;;"5229";"CAMPUS DO CÉREBRO"
"5810";"CONSTRUÇÃO DA ESCOLA LYGIA MARIA ROCHA LEÃO LAPORTA, LOCALIZADO NO CAMPUS DO CÉREBRO NA ESCOLA AGRÍCOLA DE JUNDIAÍ - MUNICÍPIO DE MACAÍBA/RN.";"14/06/2010 - 31/12/2011";"565";"FINALIZADA";"10/2009";" 86.712.247/0001-56 - EDCON - COMÉRCIO E CONSTRUÇÕES LTDA";"CONCORRÊNCIA";"R$    59.817.003,64";;"17/12/2007 - 31/07/2013";"FUNPEC/UFRN CONV. 147/2007 - CAMPUS DO CEREBRO (2352007)";"5229";"CAMPUS DO CÉREBRO"
"5287";"CONSTRUÇÃO DOS PRÉDIOS DESTINADOS A UM BLOCO DE SALAS DE AULAS, AO LABORATÓRIO DE LÍNGUA ESPANHOLA E ANFITEATRO E A RESIDÊNCIA UNIVERSITÁRIA NO CENTRO DE ENSINO SUPERIOR DO SERIDÓ - CAMPUS DE CURRAIS NOVOS ";"20/11/2009 - 15/12/2010";"390";"FINALIZADA";"12/2009";" 24.582.165/0001-87 - LIDER  - CONSTRUÇÃO E COMÉRCIO LTDA";"CONCORRÊNCIA";"R$     1.451.978,18";"TESOURO - EDUCAÇÃO (112000000)";"20/04/2005 - 20/11/2005";"19O ENECIC/2005 (852005)";"62";"ADMINISTRAÇÃO DO CERES - CURRAIS NOVOS"
"5235";"EXECUÇÃO, PELA CONTRATADA, SOB O REGIME DE EMPREITADA POR PREÇO GLOBAL DA CONSTRUÇÃO DA 2ª ETAPA DO PAVILHÃO DIDÁTICO DO CENTRO DE BIOCIÊNCIAS COM 12 SALAS DE AULAS ";"23/10/2009 - 18/10/2010";"360";"FINALIZADA";"5/2009";" 04.751.986/0001-92 - F DOIS ENGENHARIA LTDA";"CONCORRÊNCIA";"R$     1.305.523,80";"SESU - REUNI (112915030)";"20/04/2005 - 20/11/2005";"19O ENECIC/2005 (852005)";"440";"CENTRO DE BIOCIÊNCIAS"
"7148";"CONSTRUÇÃO DO PRÉDIO DESTINADO AO LABORATÓRIO INSTITUCIONAL DE MICROSCOPIA ELETRÔNICA E CARACTERIZAÇÃO DE MATERIAIS E LABORATÓRIO DE METROLOGIA - LIME.";"30/08/2011 - 24/08/2012";"360";"FINALIZADA";"2/2010";" 04.751.986/0001-92 - F DOIS ENGENHARIA LTDA";"CONCORRÊNCIA";"R$     2.119.210,58";;"08/12/2008 - 08/12/2013";"FUNPEC/FINEP/CT-INFRA VII (1972008)";"445";"CENTRO DE TECNOLOGIA"
"7148";"CONSTRUÇÃO DO PRÉDIO DESTINADO AO LABORATÓRIO INSTITUCIONAL DE MICROSCOPIA ELETRÔNICA E CARACTERIZAÇÃO DE MATERIAIS E LABORATÓRIO DE METROLOGIA - LIME.";"30/08/2011 - 24/08/2012";"360";"FINALIZADA";"2/2010";" 04.751.986/0001-92 - F DOIS ENGENHARIA LTDA";"CONCORRÊNCIA";"R$     2.119.210,58";;"03/09/2009 - 03/05/2019";"FUNPEC/FINEP/CT-INFRA-PROINFRA 01/2008 (1102009)";"445";"CENTRO DE TECNOLOGIA"
"6119";"O PRESENTE CONTRATO TEM COMO OBJETO A EXECUÇÃO, PELA CONTRATADA, SOB O REGIME DE EMPREITADA POR PREÇO UNITÁRIO DA CONSTRUÇÃO DA LINHA DE TRANSMISSÃO DE ENERGIA ELÉTRICA DE 69KV - NEÓPOLIS/UFRN ";"24/09/2010 - 08/04/2015";"180";"FINALIZADA";"3/2010";" 08.482.291/0001-03 - PROSENG-PROJETOS E SERVIÇOS DE ENGENHARIA LTDA";"CONCORRÊNCIA";"R$     4.328.262,46";"TESOURO - EDUCAÇÃO (112000000)";;;"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE"
"6063";"O PRESENTE CONTRATO TEM COMO OBJETO DO PRESENTE A EXECUÇÃO, PELA CONTRATADA, SOB O REGIME DE EMPREITADA POR PREÇO UNITÁRIO DA REESTRUTURAÇÃO DA REDE DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DO CAMPUS CENTRAL DA UFRN. ";"01/09/2010 - 28/05/2011";"269";"FINALIZADA";"1/2010";" 02.482.629/0001-40 - CCW - ENGENHARIA LTDA - EPP / CCW ENGENHARIA";"CONCORRÊNCIA";"R$     4.359.247,19";"TESOURO - EDUCAÇÃO (112000000)";;;"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE"
"6845";"O OBJETO DO PRESENTE CONTRATO É A EXECUÇÃO, PELA CONTRATADA, SOB O REGIME DE EMPREITADA POR PREÇO UNITÁRIO DA EXECUÇÃO DO SISTEMA DE GERENCIAMENTO DE ENERGIA ELÉTRICA DO CAMPUS CENTRAL DA UFRN. ";"20/05/2011 - 12/08/2012";"450";"FINALIZADA";"13/2010";" 08.482.291/0001-03 - PROSENG-PROJETOS E SERVIÇOS DE ENGENHARIA LTDA";"CONCORRÊNCIA";"R$       899.940,47";"TESOURO - EDUCAÇÃO (112000000)";;;"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE"
